Selling Report jan/21/2026,,,,,Total,Rp 416.500
№,Date,Time,Username,Profile,Comment,Price
153,jan/21/2026,15:14:31,MA268549,7jam,vc-866-01.15.26-15012026,1700
154,jan/21/2026,15:16:04,TG923579,7jam,vc-628-01.12.26-12012026mangade,1700
155,jan/21/2026,15:19:42,943899382,7jam,vc-148-01.15.26-15012026,1700
156,jan/21/2026,15:20:29,MA459345,7jam,vc-866-01.15.26-15012026,1700
157,jan/21/2026,15:21:51,MB886389,7jam,vc-634-01.18.26-18012026cbs,1700
158,jan/21/2026,15:21:58,TG345337,7jam,vc-628-01.12.26-12012026mangade,1700
159,jan/21/2026,15:22:29,TG755932,7jam,vc-901-01.12.26-12012026,1700
160,jan/21/2026,15:27:13,TG767354,7jam,vc-901-01.12.26-12012026,1700
161,jan/21/2026,15:28:56,TH568669,7jam,vc-419-01.20.26-20012026,1700
162,jan/21/2026,15:30:30,974327875,7jam,vc-148-01.15.26-15012026,1700
163,jan/21/2026,15:35:57,TG594382,7jam,vc-628-01.12.26-12012026mangade,1700
164,jan/21/2026,15:39:42,TG379688,7jam,vc-901-01.12.26-12012026,1700
165,jan/21/2026,15:41:48,TG347867,7jam,vc-628-01.12.26-12012026mangade,1700
166,jan/21/2026,15:42:21,MA348429,7jam,vc-866-01.15.26-15012026,1700
167,jan/21/2026,15:43:03,TG929433,7jam,vc-628-01.12.26-12012026mangade,1700
168,jan/21/2026,15:45:12,TG368299,7jam,vc-901-01.12.26-12012026,1700
169,jan/21/2026,15:49:16,TH367767,7jam,vc-419-01.20.26-20012026,1700
170,jan/21/2026,15:49:59,MA242892,7jam,vc-866-01.15.26-15012026,1700
171,jan/21/2026,15:51:12,MA493683,7jam,vc-866-01.15.26-15012026,1700
172,jan/21/2026,15:56:47,TG353597,7jam,vc-628-01.12.26-12012026mangade,1700
173,jan/21/2026,15:57:40,LT425565,7jam,vc-416-01.11.26-11012025cbs,1700
174,jan/21/2026,15:58:51,MA548589,7jam,vc-866-01.15.26-15012026,1700
175,jan/21/2026,16:00:06,MA864724,7jam,vc-866-01.15.26-15012026,1700
176,jan/21/2026,16:00:42,TG869273,7jam,vc-901-01.12.26-12012026,1700
177,jan/21/2026,16:01:37,TG696775,7jam,vc-901-01.12.26-12012026,1700
178,jan/21/2026,16:11:22,MB288367,7jam,vc-264-01.18.26-18012026,1700
179,jan/21/2026,16:13:42,MB926938,7jam,vc-264-01.18.26-18012026,1700
180,jan/21/2026,16:14:04,TG837255,7jam,vc-901-01.12.26-12012026,1700
181,jan/21/2026,16:18:13,MA286537,7jam,vc-866-01.15.26-15012026,1700
182,jan/21/2026,16:22:28,TG388958,7jam,vc-628-01.12.26-12012026mangade,1700
183,jan/21/2026,16:28:15,TG722854,7jam,vc-901-01.12.26-12012026,1700
184,jan/21/2026,16:34:57,992586666,7jam,vc-148-01.15.26-15012026,1700
185,jan/21/2026,16:36:56,TG593634,7jam,vc-628-01.12.26-12012026mangade,1700
186,jan/21/2026,16:41:49,MA94274798,7jam,vc-453-01.15.26-15012026,1700
187,jan/21/2026,16:43:59,TG399762,7jam,vc-901-01.12.26-12012026,1700
188,jan/21/2026,16:51:31,MB257387,7jam,vc-264-01.18.26-18012026,1700
189,jan/21/2026,16:51:47,3735674,7jam,vc-561-01.05.26-06122025,1700
190,jan/21/2026,16:58:48,MA48583927,7jam,vc-453-01.15.26-15012026,1700
191,jan/21/2026,16:58:49,MA64384388,7jam,vc-453-01.15.26-15012026,1700
192,jan/21/2026,16:59:07,3736563,7jam,vc-561-01.05.26-06122025,1700
193,jan/21/2026,17:01:45,933733258,7jam,vc-148-01.15.26-15012026,1700
194,jan/21/2026,17:04:26,TG472535,7jam,vc-901-01.12.26-12012026,1700
195,jan/21/2026,17:06:06,975556972,7jam,vc-148-01.15.26-15012026,1700
196,jan/21/2026,17:08:46,LT964788,7jam,vc-416-01.11.26-11012025cbs,1700
197,jan/21/2026,17:17:48,TG747457,7jam,vc-901-01.12.26-12012026,1700
198,jan/21/2026,17:24:55,MB997372,7jam,vc-634-01.18.26-18012026cbs,1700
199,jan/21/2026,17:25:15,MB736957,7jam,vc-264-01.18.26-18012026,1700
200,jan/21/2026,17:25:26,TF692336,7jam,vc-200-01.05.26-05122025mangade,1700
201,jan/21/2026,17:29:51,MB474385,7jam,vc-634-01.18.26-18012026cbs,1700
202,jan/21/2026,17:43:09,TG489864,7jam,vc-901-01.12.26-12012026,1700
203,jan/21/2026,17:45:39,TG374389,7jam,vc-628-01.12.26-12012026mangade,1700
204,jan/21/2026,17:47:41,MB562643,7jam,vc-634-01.18.26-18012026cbs,1700
205,jan/21/2026,17:49:34,TG322996,7jam,vc-628-01.12.26-12012026mangade,1700
206,jan/21/2026,17:51:49,MB866358,7jam,vc-264-01.18.26-18012026,1700
207,jan/21/2026,17:53:21,TG524387,7jam,vc-901-01.12.26-12012026,1700
208,jan/21/2026,17:54:22,984829423,7jam,vc-148-01.15.26-15012026,1700
209,jan/21/2026,17:58:20,MB927573,7jam,vc-634-01.18.26-18012026cbs,1700
210,jan/21/2026,17:59:21,MB795432,7jam,vc-634-01.18.26-18012026cbs,1700
211,jan/21/2026,18:04:43,MA658558,7jam,vc-866-01.15.26-15012026,1700
212,jan/21/2026,18:15:51,TG988658,7jam,vc-901-01.12.26-12012026,1700
213,jan/21/2026,18:16:22,TG359893,7jam,vc-901-01.12.26-12012026,1700
214,jan/21/2026,18:19:40,MB942547,7jam,vc-634-01.18.26-18012026cbs,1700
215,jan/21/2026,18:21:43,3999627,7jam,vc-561-01.05.26-06122025,1700
216,jan/21/2026,18:33:33,LT546773,7jam,vc-651-01.11.26-11012025,1700
217,jan/21/2026,18:34:32,MA25696625,7jam,vc-453-01.15.26-15012026,1700
218,jan/21/2026,18:42:30,TH466659,7jam,vc-419-01.20.26-20012026,1700
219,jan/21/2026,18:48:13,LT379499,7jam,vc-416-01.11.26-11012025cbs,1700
220,jan/21/2026,18:49:34,MA26242383,7jam,vc-453-01.15.26-15012026,1700
221,jan/21/2026,18:51:47,TG374347,7jam,vc-901-01.12.26-12012026,1700
